road,LRPName,length,chainage_y,lon_y,lat_y,type_y,name_y,condition
N1,LRP010b,6.3,9.963,90.5307216,23.6998608,Culvert,Box culvert,A
N1,LRP010c,6.3,10.377,90.5337774,23.6974163,Culvert,Box culvert,A
N1,LRP011,0.3819999999999997,10.503,90.5348052,23.6966386,KmPost,Km post missing,
N1,LRP011a,8.3,10.885,90.5376108,23.6943608,Culvert,Box culvert,A
N1,LRP011b,0.18399999999999928,11.313,90.5410552,23.6922774,Culvert,Box culvert,
N1,LRP012,0.24799999999999933,11.497,90.5426108,23.6918052,KmPost,"Chittagong 248 km,Comilla 81 km",
N1,LRP012a,9.3,11.745,90.5448886,23.6911108,Bridge,Bridge start,A
N1,LRP012b,6.1,11.771,90.5451386,23.6910552,Bridge,Bridge end,A
N1,LRP012c,0.5879999999999992,11.936,90.546583,23.6904163,"SideRoad,Right",Right to Syedpur (R113) left to Joydebpur N105),
N1,LRP013,0.14800000000000146,12.524,90.5504167,23.6865274,KmPost,"Ctg 247 km,Comilla 80 km",
N1,LRP013a,27.5,12.672,90.5512778,23.6854997,Culvert,Box culvert,A
N1,LRP014,1.0,13.524,90.5556111,23.678166,KmPost,Km post missing,
N1,LRP015,0.03900000000000148,14.524,90.5597778,23.670916,KmPost,Km post missing,
N1,LRP015a,0.9609999999999985,14.563,90.5599722,23.6705827,Culvert,Box culvert,
N1,LRP016,0.41100000000000136,15.524,90.5641111,23.6628333,KmPost,Km post missing,
N1,LRP016a,5.55,15.935,90.5671104,23.6604167,"SideRoad,Right",Road to MinanbariZ1061),B
N1,LRP016b,0.16000000000000014,16.242,90.5697216,23.6591111,Bridge,Langalbandhu bridge,
N1,LRP016c,0.12199999999999989,16.402,90.5709993,23.6583056,Bridge,Bridge end,
N1,LRP017,0.3069999999999986,16.524,90.5719716,23.6575,KmPost,Km post missing,
N1,LRP017a,0.021000000000000796,16.831,90.5743327,23.6559722,Bridge,Bridge start,
N1,LRP017b,159.52,16.852,90.5745271,23.6559167,Bridge,Bridge end,C
N1,LRP017c,0.030000000000001137,17.204,90.5772771,23.6540556,Bridge,Bridge start,
N1,LRP017d,0.28999999999999915,17.234,90.5774993,23.6539167,Bridge,Bridge end,
N1,LRP018,0.33899999999999864,17.524,90.5798882,23.6525278,KmPost,Km post missing,
N1,LRP018a,20.5,17.863,90.5826382,23.6508889,Bridge,Bridge start,A
N1,LRP018b,20.45,17.904,90.5829993,23.6506944,Bridge,Bridge end,A
N1,LRP019,0.3539999999999992,18.524,90.588083,23.6476108,KmPost,Km post missing,
N1,LRP019a,40.5,18.878,90.5899163,23.6449441,Culvert,Box culvert,C
N1,LRP019b,40.33,19.521,90.5926941,23.6397497,Culvert,Box culvert,B
N1,LRP020,0.5199999999999996,19.524,90.5927219,23.6396941,KmPost,Km post missing,
N1,LRP020a,6.0,20.044,90.5948052,23.6358608,"SideRoad,Left",Left to Sonargaon (Z1089) Right to Morgrapara ( Z1066),A
N1,LRP020b,10.4,20.342,90.5970274,23.6341108,Bridge,Bridge start,B
N1,LRP020c,0.08200000000000074,20.442,90.5976941,23.6335552,Bridge,Bridge end,
N1,LRP021,0.9749999999999979,20.524,90.5982774,23.6330549,KmPost,Km post missing,
N1,LRP021a,0.13000000000000256,21.499,90.6042222,23.6262771,Culvert,Box culvert,
N1,LRP022,0.13599999999999923,21.629,90.6049722,23.6252216,KmPost,"Ctg 238 km,Comilla 71 km",
N1,LRP022a,5.5,21.765,90.6055278,23.6242216,Bridge,Bridge start,B
N1,LRP022b,0.25900000000000034,21.993,90.6066944,23.6224993,Bridge,Bridge end,
N1,LRP022c,0.12199999999999989,22.252,90.6079722,23.6204716,Bridge,Bridge start,
N1,LRP022d,0.25500000000000256,22.374,90.6085833,23.6195271,Bridge,Bridge end,
N1,LRP023,0.9349999999999987,22.629,90.6096944,23.6173604,KmPost,Km post missing,
N1,LRP023a,224.8,23.564,90.6121944,23.6095556,Bridge,Meghna  bridge,A
N1,LRP024,0.8739999999999988,23.629,90.6124722,23.609,KmPost,Km post missing,
N1,LRP024a,924.85,24.503,90.6159722,23.6018611,Bridge,Bridge end,A
N1,LRP025,1.0,24.629,90.6165556,23.6009444,KmPost,Km post missing,
N1,LRP026,0.00999999999999801,25.629,90.624666,23.5959997,KmPost,Km post missing,
N1,LRP026a,5.6,25.639,90.6246938,23.5959441,Culvert,Box culvert,A
N1,LRP026b,5.5,26.313,90.6293327,23.5917497,Culvert,Box culvert,A
N1,LRP027,0.8739999999999988,26.629,90.6313882,23.5896108,KmPost,Km post missing,
N1,LRP027a,5.6,27.503,90.6369441,23.5837497,Bridge,Bridge start,A
N1,LRP028,0.038999999999997925,27.629,90.6378886,23.5828327,KmPost,Km post missing,
N1,LRP028a,173.25,27.668,90.6381386,23.5825827,Bridge,Bridge end,A
N1,LRP028b,172.1,28.324,90.6419719,23.577916,Bridge,Bridge start,A
N1,LRP028c,0.3960000000000008,28.363,90.6421108,23.5776104,Bridge,Bridge end,
N1,LRP029,0.30799999999999983,28.759,90.6436941,23.5745271,KmPost,Information missing,
N1,LRP029a,29.85,29.067,90.6451108,23.572166,Bridge,Bridge start,A
N1,LRP029b,29.77,29.113,90.6453052,23.5718327,Bridge,Bridge end,A
N1,LRP030,0.36799999999999855,29.759,90.6481663,23.5666111,KmPost,Km post missing,
N1,LRP030a,34.7,30.127,90.6501944,23.5639167,Bridge,Bridge start,A
N1,LRP030b,0.532,30.165,90.6504722,23.5636944,Bridge,Bridge end,
N1,LRP030c,0.038000000000000256,30.697,90.6542222,23.5604167,Bridge,Bridge start,
N1,LRP030d,0.03900000000000148,30.735,90.6545,23.5602222,Bridge,Bridge end,
N1,LRP031,0.16199999999999903,30.774,90.6548056,23.5599722,KmPost,"Ctg 229 km,Comilla 62 km",
N1,LRP031a,27.4,30.936,90.6559444,23.5590278,"SideRoad,Right",Road to Gazara (Z1063),A
N1,LRP031b,0.0400000000000027,31.348,90.6588611,23.5564444,Bridge,Bridge start,
N1,LRP031c,0.3949999999999996,31.388,90.6591389,23.5562222,Bridge,Bridge end,
N1,LRP032,0.24199999999999733,31.783,90.6619722,23.5538056,KmPost,"Ctg 228 km,Comilla 61 km",
N1,LRP032a,29.85,32.025,90.6636667,23.5523333,Culvert,Box culvert,A
N1,LRP033,0.22400000000000375,32.607,90.6678327,23.5487497,KmPost,"Ctg 227 km,Comilla 60 km",
N1,LRP033a,9.1,32.831,90.6694438,23.5474163,Bridge,Bridge start,A
N1,LRP033b,5.2,32.908,90.6699993,23.5469441,Bridge,Bridge end,A
N1,LRP033c,0.2560000000000002,33.351,90.6731104,23.5442219,Culvert,Box culvert,
N1,LRP034,1.0,33.607,90.6749438,23.542583,KmPost,Km post missing,
N1,LRP035,0.03399999999999892,34.607,90.681916,23.5362497,KmPost,Km post missing,
N1,LRP035a,9.5,34.641,90.6821382,23.536083,Bridge,Bridge start,A
N1,LRP035b,0.2750000000000057,34.681,90.6823604,23.5358608,Bridge,Bridge end,
N1,LRP035c,0.6509999999999962,34.956,90.6843052,23.5341386,Culvert,Box culvert,
N1,LRP036,0.6640000000000015,35.607,90.688833,23.5301938,KmPost,Km post missing,
N1,LRP036a,25.45,36.271,90.6952219,23.529916,Bridge,Daudkandi bridge,A
N1,LRP037,1.0,36.607,90.6984997,23.5301382,KmPost,Km post missing,
N1,LRP038,0.07800000000000296,37.607,90.7082778,23.5307493,KmPost,Km post missing,
N1,LRP038a,0.3549999999999969,37.685,90.7090278,23.5307771,Bridge,Daudkandi bridge,
N1,LRP038b,0.42600000000000193,38.04,90.7153611,23.5313882,Others / Others,Start of Comilla road Division / Start of Comilla road Division,
N1,LRP038c,0.07699999999999818,38.466,90.7172216,23.5314716,"SideRoad,Right",Road to Matlab (Z1062),
N1,LRP038d,0.017000000000003013,38.543,90.7173604,23.5315271,Bridge,Bridge start,
N1,LRP038e,0.046999999999997044,38.56,90.7176104,23.5315827,Bridge,Bridge end,
N1,LRP039,0.5129999999999981,38.607,90.7180271,23.5317216,KmPost,Km post missing,
N1,LRP039a,0.4870000000000019,39.12,90.7226298386,23.5322346,Culvert,Box culvert,
N1,LRP040,1.0,39.607,90.7269993,23.5327216,KmPost,Km post missing,
N1,LRP041,0.6540000000000035,40.607,90.7356108,23.528916,KmPost,Km post missing,
N1,LRP042,0.9669999999999987,41.261,90.7419441,23.5289993,KmPost,Ctg 214 km,
N1,LRP042a,0.016999999999995907,42.228,90.7514167,23.5293882,Bridge,Bridge start,
N1,LRP042b,0.02400000000000091,42.245,90.7515833,23.5293882,Bridge,Bridge end,
N1,LRP043,1.0,42.269,90.75175,23.529416,KmPost,Km post broken,
N1,LRP044,1.0,43.269,90.7615,23.5299993,KmPost,Km post Missing,
N1,LRP045,0.18500000000000227,44.269,90.7713049,23.5304438,KmPost,Km post Missing,
N1,LRP045a,0.8149999999999977,44.454,90.7731104,23.5304993,Culvert,Box culvert,
N1,LRP046,0.05300000000000438,45.269,90.7811104,23.5308049,KmPost,Km post Missing,
N1,LRP046a,3.9,45.322,90.7816104,23.5307493,"SideRoad,Right","Z1402, road to Pennai",C
N1,LRP046b,0.7730000000000032,45.388,90.7821938,23.530666,"SideRoad,Left","Z1053, Road to Homna",
N1,LRP046c,0.10799999999999699,46.161,90.7895552,23.5312216,Culvert,Box culvert,
N1,LRP047,0.9549999999999983,46.269,90.7907219,23.531166,KmPost,Km post Missing,
N1,LRP047a,6.5,47.224,90.7924441,23.5306938,"SideRoad,Right",Z1044,C
N1,LRP048,0.4029999999999987,47.269,90.8002222,23.5308604,KmPost,Km post Missing,
N1,LRP048a,0.020000000000003126,47.672,90.8041389,23.5308882,Bridge,Bridge start,
N1,LRP048b,0.5769999999999982,47.692,90.8043611,23.530916,Bridge,Bridge end,
N1,LRP049,1.0,48.269,90.8099167,23.5316382,KmPost,Km post Missing,
N1,LRP050,0.5940000000000012,49.269,90.8194716,23.5332493,KmPost,Km post Missing,
N1,LRP050a,0.015999999999998238,49.863,90.8249716,23.5346663,Bridge,Bridge start,
N1,LRP050b,0.39000000000000057,49.879,90.8251104,23.5347219,Bridge,Bridge end,
N1,LRP051,1.0,50.269,90.8287216,23.5344997,KmPost,Km post Missing,
N1,LRP052,0.36700000000000443,51.269,90.8365274,23.5292216,KmPost,Km post Missing,
N1,LRP052a,0.6329999999999956,51.636,90.8391386,23.5270549,Culvert,Box culvert,
N1,LRP053,1.0,52.269,90.8438886,23.523166,KmPost,Km post Missing,
N1,LRP054,1.0,53.269,90.8513889,23.5174993,KmPost,Km post Missing,
N1,LRP055,1.0,54.269,90.8607778,23.5170827,KmPost,Km post Missing,
N1,LRP056,0.06400000000000006,55.269,90.8697771,23.5135833,KmPost,Km post Missing,
N1,LRP056a,28.9,55.333,90.8703049,23.5133056,Bridge,Bridge start,C
N1,LRP056b,0.10199999999999676,55.375,90.8706382,23.5131111,Bridge,Bridge end,
N1,LRP056c,0.7920000000000016,55.477,90.871416,23.5126667,"SideRoad,Left","Z1042, road to Bancharampur",
N1,LRP057,1.0,56.269,90.8778604,23.5088056,KmPost,Km post Missing,
N1,LRP058,0.9220000000000041,57.269,90.8869163,23.506,KmPost,Km post Missing,
N1,LRP058a,0.07799999999999585,58.191,90.8958886,23.5056111,Culvert,Box culvert,
N1,LRP059,1.0,58.269,90.8966108,23.5056389,KmPost,Km post Missing,
N1,LRP060,0.9110000000000014,59.269,90.9063889,23.5062778,KmPost,Km post Missing,
N1,LRP060a,0.08899999999999864,60.18,90.91525,23.50575,Culvert,Box culvert,
N1,LRP061,1.0,60.269,90.9160278,23.5057222,KmPost,Km post Missing,
N1,LRP062,1.0,61.269,90.9257216,23.5055278,KmPost,Km post Missing,
N1,LRP063,0.009000000000000341,62.269,90.9354163,23.5042778,KmPost,Km post Missing,
N1,LRP063a,0.2640000000000029,62.278,90.9354719,23.5043333,"SideRoad,Left","Z1017, Road to Companiganj",
N1,LRP063b,0.35199999999999676,62.542,90.9371386,23.5038611,Culvert,Box culvert,
N1,LRP063c,0.375,62.894,90.9412774,23.5028611,Culvert,Box culvert,
N1,LRP064,1.000000000000007,63.269,90.9448886,23.5020278,KmPost,Km post Missing,
N1,LRP065,1.0,64.269,90.9541667,23.4995274,KmPost,Km post Missing,
N1,LRP066,0.2740000000000009,65.269,90.9651111,23.4986386,KmPost,Km post Missing,
N1,LRP066a,0.18299999999999272,65.543,90.9660278,23.4980552,Culvert,Box culvert,
N1,LRP067,1.0,65.726,90.9674716,23.4972774,KmPost,Ctg 191 km,
N1,LRP068,0.6940000000000026,66.726,90.9765549,23.4942219,KmPost,Km post Missing,
N1,LRP068a,4.5,67.42,90.9829993,23.4951386,Culvert,Box culvert,A
N1,LRP069,1.0,67.726,90.985833,23.4942497,KmPost,Km post Missing,
N1,LRP070,0.8900000000000006,68.726,90.9950274,23.4911386,KmPost,Km post Missing,
N1,LRP070a,0.02200000000000557,69.616,91.0033056,23.4894441,"SideRoad,Left",Road to Debiduar (Z1008),
N1,LRP070b,0.07099999999999795,69.638,91.0034722,23.4893886,"SideRoad,Right",Road to Jhalam (Z1022),
N1,LRP071,0.7339999999999947,69.709,91.0043056,23.4896108,KmPost,Ctg 188 km,
N1,LRP072,0.08400000000000318,70.443,91.0112778,23.4893052,KmPost,"Ctg 188 km,Comilla 20 km",
N1,LRP072a,23.1,70.527,91.0120278,23.4890552,Bridge,Bridge start,C
N1,LRP072b,0.1979999999999933,70.557,91.01225,23.4889441,Bridge,Bridge end,
N1,LRP073,1.0200000000000102,70.755,91.0140833,23.488333,KmPost,Ctg 187 km,
N1,LRP074,1.0,71.775,91.0229438,23.4846386,KmPost,Km post missing,
N1,LRP075,0.9129999999999967,72.775,91.0321382,23.4827771,KmPost,Km post missing,
N1,LRP075a,4.6,73.688,91.0404441,23.481166,Culvert,Box culvert,B
N1,LRP076,0.8710000000000093,73.829,91.0419719,23.4814716,KmPost,Ctg 184 km,
N1,LRP076a,4.6,74.7,91.0504167,23.4820827,Culvert,Box culvert,B
N1,LRP077,0.7600000000000051,74.829,91.0516944,23.4821382,KmPost,Km post missing,
N1,LRP077a,1.5,75.589,91.0590278,23.4815271,"SideRoad,Left",Road to Khangsanagar (Z1219) left road to Barua Z1028 right,A
N1,LRP078,1.0,75.829,91.0613611,23.4815549,KmPost,Km post missing,
N1,LRP079,0.9440000000000026,76.829,91.0706382,23.4801104,KmPost,Km post missing,
N1,LRP079a,1.0,77.773,91.0789993,23.4770827,Culvert,Box culvert,C
N1,LRP080,1.0,77.829,91.0794716,23.4770271,KmPost,Km post missing,
N1,LRP081,1.0,78.829,91.0889997,23.4781938,KmPost,Km post missing,
N1,LRP082,0.5130000000000052,79.829,91.0986663,23.4775549,KmPost,Km post missing,
N1,LRP082a,0.48699999999999477,80.342,91.1036111,23.4778604,Culvert,Box culvert,
N1,LRP083,0.9720000000000084,80.829,91.1055278,23.4779993,KmPost,Km post missing,
N1,LRP083a,1.4,81.801,91.1177216,23.4789438,Culvert,Box culvert,A
N1,LRP084,0.017000000000010118,81.829,91.1179993,23.4789716,KmPost,Km post missing,
N1,LRP084a,0.546999999999997,81.846,91.118166,23.4789716,"SideRoad,Left",Road to Brahmanbaria(N102),
N1,LRP084b,0.43599999999999284,82.393,91.1234716,23.4793327,Culvert,Box culvert,
N1,LRP085,1.0,82.829,91.1276382,23.4800827,KmPost,Km post missing,
N1,LRP086,1.0,83.829,91.1364441,23.4767216,KmPost,Km post missing,
N1,LRP087,1.0,84.829,91.1394441,23.4682216,KmPost,Km post missing,
N1,LRP088,0.06800000000001205,85.829,91.1421386,23.4595833,KmPost,Km post missing,
N1,LRP088a,23.4,85.897,91.142333,23.459,CrossRoad,Cross road Z1029,A
N1,LRP089,0.3030000000000115,86.829,91.1460552,23.4513056,KmPost,Km post missing,
N1,LRP089a,0.02400000000000091,87.132,91.1471386,23.448833,Bridge,Bridge start,
N1,LRP089b,0.20999999999999375,87.156,91.1472497,23.4486386,Bridge,Bridge end,
N1,LRP089c,0.46299999999999386,87.366,91.1481386,23.4469441,CrossRoad,Cross Road with Z1052,
N1,LRP090,0.6840000000000117,87.829,91.1497774,23.4425274,KmPost,Km post missing,
N1,LRP091,1.0,88.513,91.1521944,23.4373886,KmPost,Ctg 170 km,
N1,LRP092,0.9799999999999898,89.513,91.1553889,23.4288882,KmPost,Km post missing,
N1,LRP093,0.028000000000005798,90.493,91.1626944,23.4236938,KmPost,Ctg 168 km,
N1,LRP093a,0.03700000000000614,90.521,91.1629722,23.4235827,Bridge,Bridge start,
N1,LRP093b,0.5079999999999956,90.558,91.1632778,23.423416,Bridge,Bridge end,
N1,LRP093c,0.4269999999999925,91.066,91.167666,23.4213604,RailRoadCrossing,Rail Road Crossing,
N1,LRP094,0.09000000000000341,91.493,91.171416,23.4195271,KmPost,Km post missing,
N1,LRP094a,27.35,91.583,91.1721938,23.4191382,CrossRoad,Left to Comilla Right to Noakhali,C
N1,LRP095,0.5110000000000099,92.121,91.1801382,23.4149444,KmPost,"Ctg 66 km,Feni 52 km",
N1,LRP095a,0.027999999999991587,92.632,91.1846663,23.4131111,Bridge,Bridge start,
N1,LRP095b,0.4609999999999985,92.66,91.1849163,23.4130556,Bridge,Bridge end,
N1,LRP096,1.0080000000000098,93.121,91.1893886,23.4125,KmPost,Km post missing,
N1,LRP097,1.027000000000001,94.129,91.1988886,23.4113056,KmPost,Ctg 164 km,
N1,LRP098,0.03699999999999193,95.156,91.2087778,23.4100833,KmPost,Ctg 163 km,
N1,LRP098a,27.9,95.193,91.2090833,23.4100278,Culvert,Box culvert,A
N1,LRP099,0.17199999999999704,96.173,91.2165278,23.4048056,KmPost,Ctg 162 km,
N1,LRP099a,0.028999999999996362,96.345,91.2176382,23.40375,Bridge,Bridge start,
N1,LRP099b,0.7990000000000066,96.374,91.2178049,23.4035556,Bridge,Bridge end,
N1,LRP100,1.0,97.173,91.22288776581436,23.398213447804338,KmPost,Km post missing,
N1,LRP101,0.010000000000005116,98.173,91.2292493,23.3915274,KmPost,Km post missing,
N1,LRP101a,30.48,98.183,91.2293049,23.3914441,Culvert,Box culvert,A
N1,LRP101b,0.015000000000000568,99.075,91.2345552,23.385083,Culvert,Box culvert,
N1,LRP101c,0.08299999999999841,99.09,91.2346108,23.3849719,Culvert,Box culvert,
N1,LRP102,0.8979999999999961,99.173,91.2351108,23.3843886,KmPost,Km post missing,
N1,LRP102a,0.030000000000001137,100.071,91.2403608,23.3779716,Bridge,Bridge start,
N1,LRP102b,0.07200000000000273,100.101,91.2405274,23.3777493,Bridge,Bridge end,
N1,LRP103,1.0,100.173,91.2409163,23.377166,KmPost,Km post missing,
N1,LRP104,0.17099999999999227,101.173,91.2462774,23.3695827,KmPost,Km post missing,
N1,LRP104a,22.8,101.344,91.2471108,23.3683327,Culvert,Box culvert,C
N1,LRP105,0.36599999999999966,102.248,91.2515556,23.3615278,KmPost,"Ctg 156 km,Feni 43 km",
N1,LRP105a,14.3,102.614,91.25325,23.3586389,Bridge,Bridge start,A
N1,LRP105b,0.6099999999999994,102.638,91.2533333,23.3584444,Bridge,Bridge end,
N1,LRP106,0.6869999999999976,103.248,91.2561389,23.3536944,KmPost,Km post missing,
N1,LRP106a,0.3130000000000024,103.935,91.2599444,23.3486386,Culvert,Box culvert,
N1,LRP107,1.0,104.248,91.2616944,23.3463608,KmPost,Km post missing,
N1,LRP108,0.4439999999999884,105.248,91.2672216,23.3390552,KmPost,Km post missing,
N1,LRP108a,0.04400000000001114,105.692,91.2700549,23.3360274,Bridge,Bridge start,
N1,LRP108b,0.14300000000000068,105.736,91.2703049,23.3357219,Bridge,Bridge end,
N1,LRP108c,0.3689999999999998,105.879,91.271166,23.3347219,"SideRoad,Right",Road to Harishchar (Z1046),
N1,LRP109,1.0,106.248,91.2734716,23.3321938,KmPost,Km post missing,
N1,LRP110,0.07299999999999329,107.248,91.278666,23.3246382,KmPost,Km post missing,
N1,LRP110a,19.2,107.321,91.2791104,23.324166,Bridge,Bridge start,B
N1,LRP110b,0.9170000000000016,107.331,91.279166,23.3240827,Bridge,Bridge end,
N1,LRP111,0.269999999999996,108.248,91.2836941,23.3171382,KmPost,Km post missing,
N1,LRP111a,3.2,108.518,91.2844719,23.3149444,Bridge,Bridge start,A
N1,LRP111b,0.597999999999999,108.537,91.2845552,23.31475,Bridge,Bridge end,
N1,LRP111c,0.11299999999999955,109.135,91.2861386,23.3096389,Culvert,Box culvert,
N1,LRP112,0.546999999999997,109.248,91.2864163,23.3086944,KmPost,Km post missing,
N1,LRP112a,13.4,109.795,91.288583,23.30425,Culvert,Box culvert,A
N1,LRP113,0.5189999999999912,110.248,91.290333,23.3006111,KmPost,Km post missing,
N1,LRP113a,4.6,110.767,91.2914997,23.296083,Bridge,Bridge start,B
N1,LRP113b,0.46699999999999875,110.781,91.2915274,23.2959719,Bridge,Bridge end,
N1,LRP114,0.5019999999999953,111.248,91.2922219,23.2919163,KmPost,Km post missing,
N1,LRP114a,6.3,111.75,91.2936386,23.2876663,Culvert,Box culvert,B
N1,LRP115,0.7740000000000009,112.248,91.2952219,23.283583,KmPost,Km post missing,
N1,LRP115a,0.2259999999999991,113.022,91.3002778,23.2787216,Culvert,Box culvert,
N1,LRP116,1.0,113.248,91.3011944,23.2768882,KmPost,Km post missing,
N1,LRP117,0.11599999999999966,114.248,91.3049722,23.2686382,KmPost,Km post missing,
N1,LRP117a,4.5,114.364,91.3054722,23.2677493,Culvert,Box culvert,B
N1,LRP117b,0.20299999999998875,114.641,91.3064444,23.2654444,Culvert,Box culvert,
N1,LRP117c,0.4040000000000106,114.844,91.30675,23.2636667,Culvert,Box culvert,
N1,LRP118,0.1559999999999917,115.248,91.3072778,23.2601111,KmPost,Km post missing,
N1,LRP118a,2.5,115.404,91.3074444,23.2587222,Culvert,Box culvert,B
N1,LRP119,0.17399999999999238,116.248,91.3086389,23.2511944,KmPost,Km post missing,
N1,LRP119a,2.5,116.422,91.3091944,23.249833,Culvert,Box culvert,A
N1,LRP119b,3.1,116.608,91.3098056,23.248333,Bridge,Bridge start,B
N1,LRP119c,0.3469999999999942,116.631,91.3098889,23.2481663,Bridge,Bridge end,
N1,LRP119d,0.27000000000001023,116.978,91.3110556,23.2452774,Culvert,Box culvert,
N1,LRP120,0.1629999999999967,117.248,91.3119167,23.243083,KmPost,Km post missing,
N1,LRP120a,2.6,117.411,91.3123611,23.2416941,Culvert,Box culvert,B
N1,LRP120b,6.0,118.228,91.3131667,23.2344997,Culvert,Box culvert,A
N1,LRP121,0.3149999999999977,118.248,91.3131667,23.2343052,KmPost,Km post missing,
N1,LRP121a,0.4479999999999933,118.563,91.3132222,23.2314993,Culvert,Box culvert,
N1,LRP121b,14.3,119.011,91.3135278,23.2275549,Culvert,Box culvert,B
N1,LRP122,0.44999999999998863,119.248,91.3135833,23.2253882,KmPost,Km post missing,
N1,LRP122a,6.1,119.698,91.3137222,23.221416,"SideRoad,Right",Road to Bangadda (Z1045),A
N1,LRP122b,0.2220000000000084,120.026,91.3143889,23.2184993,Culvert,Box culvert,
N1,LRP123,0.7179999999999893,120.248,91.3149167,23.2165556,KmPost,Km post missing,
N1,LRP123a,6.1,120.966,91.3157222,23.2103056,Culvert,Box culvert,A
N1,LRP124,0.7710000000000008,121.248,91.3159722,23.2078889,KmPost,Km post missing,
N1,LRP124a,6.1,122.019,91.3168049,23.201,Culvert,Box culvert,C
N1,LRP125,0.8649999999999949,122.248,91.3170549,23.1990274,KmPost,Km post missing,
N1,LRP125a,9.5,123.113,91.3185549,23.1921108,Culvert,Box culvert,B
N1,LRP126,0.5229999999999961,123.248,91.3192493,23.1909997,KmPost,Km post missing,
N1,LRP126a,3.1,123.771,91.3212493,23.1866941,Bridge,Bridge start,B
N1,LRP126b,0.4650000000000034,123.783,91.3212771,23.1866108,Bridge,Bridge end,
N1,LRP127,0.6139999999999901,124.248,91.3210827,23.1826382,KmPost,Km post missing,
N1,LRP127a,9.5,124.862,91.3198049,23.1773604,Culvert,Box culvert,A
N1,LRP128,0.5460000000000065,125.377,91.3205271,23.172916,KmPost,Ctg 133 km,
N1,LRP128a,6.3,125.923,91.3213604,23.1681382,Bridge,Bridge start,B
N1,LRP128b,0.4399999999999977,125.937,91.3213604,23.1680549,Bridge,Bridge end,
N1,LRP129,0.7920000000000016,126.377,91.3214993,23.1641389,KmPost,Km post missing,
N1,LRP129a,3.5,127.169,91.3224993,23.1571667,Culvert,Box culvert,B
N1,LRP130,0.6319999999999908,127.377,91.3232771,23.1554167,KmPost,Km post missing,
N1,LRP130a,6.1,128.009,91.3254993,23.1496941,"SideRoad,Right",Road to Nangolhat (Z1048),B
N1,LRP130b,0.09900000000001796,128.278,91.3264993,23.1480274,Culvert,Box culvert,
N1,LRP131,0.42099999999999227,128.377,91.3266938,23.1471663,KmPost,Km post missing,
N1,LRP131a,3.0,128.798,91.326666,23.1433886,Culvert,Box culvert,B
N1,LRP132,0.10200000000000387,129.377,91.3263049,23.1382219,KmPost,Km post missing,
N1,LRP132a,4.5,129.479,91.3264716,23.1374163,Culvert,Box culvert,B
N1,LRP133,0.06999999999999318,130.377,91.3284993,23.1295827,KmPost,Km post missing,
N1,LRP133a,5.3,130.447,91.3287216,23.1290827,Culvert,Box culvert,B
N1,LRP133b,0.25499999999999545,131.122,91.3311382,23.1234993,Culvert,Box culvert,
N1,LRP134,0.24799999999999045,131.377,91.3320549,23.1213327,KmPost,Km post missing,
N1,LRP134a,6.1,131.625,91.3329993,23.1193049,Culvert,Box culvert,A
N1,LRP135,1.0,131.653,91.3330827,23.1191382,KmPost,"Ctg 127 km,Feni 16 km",
N1,LRP136,0.07500000000001705,132.653,91.3378052,23.1113611,KmPost,Km post missing,
N1,LRP136a,3.1,132.728,91.3381386,23.1108056,Culvert,Box culvert,A
