id,road,LRPName,length,chainage,lon,lat,model_type,name,condition
41,N1,LRP019a,40.5,18878.0,90.5899163,23.6449441,bridge,Box culvert,C
42,N1,LRP019b,40.33,19521.0,90.5926941,23.6397497,bridge,Box culvert,B
43,N1,LRP020,520.0,19524.0,90.5927219,23.6396941,link,Km post missing,
44,N1,LRP020a,6.0,20044.0,90.5948052,23.6358608,link,Left to Sonargaon (Z1089) Right to Morgrapara ( Z1066),A
45,N1,LRP020b,10.4,20342.0,90.5970274,23.6341108,bridge,Bridge start,B
46,N1,LRP021,975.0,20524.0,90.5982774,23.6330549,link,Km post missing,
47,N1,LRP021a,130.0,21499.0,90.6042222,23.6262771,bridge,Box culvert,C
48,N1,LRP022,136.0,21629.0,90.6049722,23.6252216,link,"Ctg 238 km,Comilla 71 km",
49,N1,LRP022a,5.5,21765.0,90.6055278,23.6242216,bridge,Bridge start,B
50,N1,LRP022c,377.0,22252.0,90.6079722,23.6204716,bridge,Bridge start,C
51,N1,LRP023,935.0,22629.0,90.6096944,23.6173604,link,Km post missing,
52,N1,LRP023a,224.8,23564.0,90.6121944,23.6095556,bridge,Meghna  bridge,A
53,N1,LRP024,874.0,23629.0,90.6124722,23.609,link,Km post missing,
54,N1,LRP024a,924.85,24503.0,90.6159722,23.6018611,bridge,Bridge end,A
55,N1,LRP025,1000.0,24629.0,90.6165556,23.6009444,link,Km post missing,
56,N1,LRP026,10.0,25629.0,90.624666,23.5959997,link,Km post missing,
57,N1,LRP026a,5.6,25639.0,90.6246938,23.5959441,bridge,Box culvert,A
58,N1,LRP026b,5.5,26313.0,90.6293327,23.5917497,bridge,Box culvert,A
59,N1,LRP027,874.0,26629.0,90.6313882,23.5896108,link,Km post missing,
60,N1,LRP027a,5.6,27503.0,90.6369441,23.5837497,bridge,Bridge start,A
61,N1,LRP028,39.0,27629.0,90.6378886,23.5828327,link,Km post missing,
62,N1,LRP028a,173.25,27668.0,90.6381386,23.5825827,bridge,Bridge end,A
63,N1,LRP028c,396.0,28363.0,90.6421108,23.5776104,bridge,Bridge end,C
64,N1,LRP029,308.0,28759.0,90.6436941,23.5745271,link,Information missing,
65,N1,LRP029a,29.85,29067.0,90.6451108,23.572166,bridge,Bridge start,A
66,N1,LRP030,368.0,29759.0,90.6481663,23.5666111,link,Km post missing,
67,N1,LRP030a,34.7,30127.0,90.6501944,23.5639167,bridge,Bridge start,A
68,N1,LRP030c,77.0,30697.0,90.6542222,23.5604167,bridge,Bridge start,C
69,N1,LRP031,162.0,30774.0,90.6548056,23.5599722,link,"Ctg 229 km,Comilla 62 km",
70,N1,LRP031a,27.4,30936.0,90.6559444,23.5590278,link,Road to Gazara (Z1063),A
71,N1,LRP031b,435.0,31348.0,90.6588611,23.5564444,bridge,Bridge start,C
72,N1,LRP032,242.0,31783.0,90.6619722,23.5538056,link,"Ctg 228 km,Comilla 61 km",
73,N1,LRP032a,29.85,32025.0,90.6636667,23.5523333,bridge,Box culvert,A
74,N1,LRP033,224.0,32607.0,90.6678327,23.5487497,link,"Ctg 227 km,Comilla 60 km",
75,N1,LRP033a,9.1,32831.0,90.6694438,23.5474163,bridge,Bridge start,A
76,N1,LRP033c,256.0,33351.0,90.6731104,23.5442219,bridge,Box culvert,C
77,N1,LRP034,1000.0,33607.0,90.6749438,23.542583,link,Km post missing,
78,N1,LRP035,34.0,34607.0,90.681916,23.5362497,link,Km post missing,
79,N1,LRP035a,9.5,34641.0,90.6821382,23.536083,bridge,Bridge start,A
80,N1,LRP035c,651.0,34956.0,90.6843052,23.5341386,bridge,Box culvert,C
81,N1,LRP036,664.0,35607.0,90.688833,23.5301938,link,Km post missing,
82,N1,LRP036a,25.45,36271.0,90.6952219,23.529916,bridge,Daudkandi bridge,A
83,N1,LRP037,1000.0,36607.0,90.6984997,23.5301382,link,Km post missing,
84,N1,LRP038,78.0,37607.0,90.7082778,23.5307493,link,Km post missing,
85,N1,LRP038a,355.0,37685.0,90.7090278,23.5307771,bridge,Daudkandi bridge,C
86,N1,LRP038b,426.0,38040.0,90.7153611,23.5313882,link,Start of Comilla road Division / Start of Comilla road Division,
87,N1,LRP038c,77.0,38466.0,90.7172216,23.5314716,link,Road to Matlab (Z1062),
88,N1,LRP038d,64.0,38543.0,90.7173604,23.5315271,bridge,Bridge start,C
89,N1,LRP039,513.0,38607.0,90.7180271,23.5317216,link,Km post missing,
90,N1,LRP039a,487.0,39120.0,90.7226298386,23.5322346,bridge,Box culvert,C
91,N1,LRP040,1000.0,39607.0,90.7269993,23.5327216,link,Km post missing,
92,N1,LRP041,654.0,40607.0,90.7356108,23.528916,link,Km post missing,
93,N1,LRP042,967.0,41261.0,90.7419441,23.5289993,link,Ctg 214 km,
94,N1,LRP042a,41.0,42228.0,90.7514167,23.5293882,bridge,Bridge start,C
95,N1,LRP043,1000.0,42269.0,90.75175,23.529416,link,Km post broken,
96,N1,LRP044,1000.0,43269.0,90.7615,23.5299993,link,Km post Missing,
97,N1,LRP045,185.0,44269.0,90.7713049,23.5304438,link,Km post Missing,
98,N1,LRP045a,815.0,44454.0,90.7731104,23.5304993,bridge,Box culvert,C
99,N1,LRP046,53.0,45269.0,90.7811104,23.5308049,link,Km post Missing,
100,N1,LRP046a,3.9,45322.0,90.7816104,23.5307493,link,"Z1402, road to Pennai",C
101,N1,LRP046b,773.0,45388.0,90.7821938,23.530666,link,"Z1053, Road to Homna",
102,N1,LRP046c,108.0,46161.0,90.7895552,23.5312216,bridge,Box culvert,C
103,N1,LRP047,955.0,46269.0,90.7907219,23.531166,link,Km post Missing,
104,N1,LRP047a,6.5,47224.0,90.7924441,23.5306938,link,Z1044,C
105,N1,LRP048,403.0,47269.0,90.8002222,23.5308604,link,Km post Missing,
106,N1,LRP048a,597.0,47672.0,90.8041389,23.5308882,bridge,Bridge start,C
107,N1,LRP049,1000.0,48269.0,90.8099167,23.5316382,link,Km post Missing,
108,N1,LRP050,594.0,49269.0,90.8194716,23.5332493,link,Km post Missing,
109,N1,LRP050a,406.0,49863.0,90.8249716,23.5346663,bridge,Bridge start,C
110,N1,LRP051,1000.0,50269.0,90.8287216,23.5344997,link,Km post Missing,
111,N1,LRP052,367.0,51269.0,90.8365274,23.5292216,link,Km post Missing,
112,N1,LRP052a,633.0,51636.0,90.8391386,23.5270549,bridge,Box culvert,C
113,N1,LRP053,1000.0,52269.0,90.8438886,23.523166,link,Km post Missing,
114,N1,LRP054,1000.0,53269.0,90.8513889,23.5174993,link,Km post Missing,
115,N1,LRP055,1000.0,54269.0,90.8607778,23.5170827,link,Km post Missing,
116,N1,LRP056,64.0,55269.0,90.8697771,23.5135833,link,Km post Missing,
117,N1,LRP056a,28.9,55333.0,90.8703049,23.5133056,bridge,Bridge start,C
118,N1,LRP056c,792.0,55477.0,90.871416,23.5126667,link,"Z1042, road to Bancharampur",
119,N1,LRP057,1000.0,56269.0,90.8778604,23.5088056,link,Km post Missing,
120,N1,LRP058,922.0,57269.0,90.8869163,23.506,link,Km post Missing,
121,N1,LRP058a,78.0,58191.0,90.8958886,23.5056111,bridge,Box culvert,C
122,N1,LRP059,1000.0,58269.0,90.8966108,23.5056389,link,Km post Missing,
123,N1,LRP060,911.0,59269.0,90.9063889,23.5062778,link,Km post Missing,
124,N1,LRP060a,89.0,60180.0,90.91525,23.50575,bridge,Box culvert,C
125,N1,LRP061,1000.0,60269.0,90.9160278,23.5057222,link,Km post Missing,
126,N1,LRP062,1000.0,61269.0,90.9257216,23.5055278,link,Km post Missing,
127,N1,LRP063,9.0,62269.0,90.9354163,23.5042778,link,Km post Missing,
128,N1,LRP063a,264.0,62278.0,90.9354719,23.5043333,link,"Z1017, Road to Companiganj",
129,N1,LRP063b,352.0,62542.0,90.9371386,23.5038611,bridge,Box culvert,C
130,N1,LRP063c,375.0,62894.0,90.9412774,23.5028611,bridge,Box culvert,C
131,N1,LRP064,1000.0000000000073,63269.0,90.9448886,23.5020278,link,Km post Missing,
132,N1,LRP065,1000.0,64269.00000000001,90.9541667,23.4995274,link,Km post Missing,
133,N1,LRP066,273.9999999999927,65269.00000000001,90.9651111,23.4986386,link,Km post Missing,
134,N1,LRP066a,183.0,65543.0,90.9660278,23.4980552,bridge,Box culvert,C
135,N1,LRP067,1000.0,65726.0,90.9674716,23.4972774,link,Ctg 191 km,
136,N1,LRP068,694.0,66726.0,90.9765549,23.4942219,link,Km post Missing,
137,N1,LRP068a,4.5,67420.0,90.9829993,23.4951386,bridge,Box culvert,A
138,N1,LRP069,1000.0,67726.0,90.985833,23.4942497,link,Km post Missing,
139,N1,LRP070,890.0,68726.0,90.9950274,23.4911386,link,Km post Missing,
140,N1,LRP070a,22.0,69616.0,91.0033056,23.4894441,link,Road to Debiduar (Z1008),
141,N1,LRP070b,71.0,69638.0,91.0034722,23.4893886,link,Road to Jhalam (Z1022),
142,N1,LRP071,734.0,69709.0,91.0043056,23.4896108,link,Ctg 188 km,
143,N1,LRP072,84.0,70443.0,91.0112778,23.4893052,link,"Ctg 188 km,Comilla 20 km",
144,N1,LRP072a,23.1,70527.0,91.0120278,23.4890552,bridge,Bridge start,C
145,N1,LRP073,1020.0,70755.0,91.0140833,23.488333,link,Ctg 187 km,
146,N1,LRP074,1000.0,71775.0,91.0229438,23.4846386,link,Km post missing,
147,N1,LRP075,913.0,72775.0,91.0321382,23.4827771,link,Km post missing,
148,N1,LRP075a,4.6,73688.0,91.0404441,23.481166,bridge,Box culvert,B
149,N1,LRP076,871.0,73829.0,91.0419719,23.4814716,link,Ctg 184 km,
150,N1,LRP076a,4.6,74700.0,91.0504167,23.4820827,bridge,Box culvert,B
151,N1,LRP077,760.0,74829.0,91.0516944,23.4821382,link,Km post missing,
152,N1,LRP077a,1.5,75589.0,91.0590278,23.4815271,link,Road to Khangsanagar (Z1219) left road to Barua Z1028 right,A
153,N1,LRP078,1000.0,75829.0,91.0613611,23.4815549,link,Km post missing,
154,N1,LRP079,944.0,76829.0,91.0706382,23.4801104,link,Km post missing,
155,N1,LRP079a,1.0,77773.0,91.0789993,23.4770827,bridge,Box culvert,C
156,N1,LRP080,1000.0,77829.0,91.0794716,23.4770271,link,Km post missing,
157,N1,LRP081,1000.0,78829.0,91.0889997,23.4781938,link,Km post missing,
158,N1,LRP082,513.0,79829.0,91.0986663,23.4775549,link,Km post missing,
159,N1,LRP082a,487.0,80342.0,91.1036111,23.4778604,bridge,Box culvert,C
160,N1,LRP083,972.0,80829.0,91.1055278,23.4779993,link,Km post missing,
161,N1,LRP083a,1.4,81801.0,91.1177216,23.4789438,bridge,Box culvert,A
162,N1,LRP084,17.0,81829.0,91.1179993,23.4789716,link,Km post missing,
163,N1,LRP084a,547.0,81846.0,91.118166,23.4789716,link,Road to Brahmanbaria(N102),
164,N1,LRP084b,436.0,82393.0,91.1234716,23.4793327,bridge,Box culvert,C
165,N1,LRP085,1000.0,82829.0,91.1276382,23.4800827,link,Km post missing,
166,N1,LRP086,1000.0,83829.0,91.1364441,23.4767216,link,Km post missing,
167,N1,LRP087,1000.0,84829.0,91.1394441,23.4682216,link,Km post missing,
168,N1,LRP088,68.0,85829.0,91.1421386,23.4595833,link,Km post missing,
169,N1,LRP088a,23.4,85897.0,91.142333,23.459,link,Cross road Z1029,A
170,N1,LRP089,303.0,86829.0,91.1460552,23.4513056,link,Km post missing,
171,N1,LRP089a,234.0,87132.0,91.1471386,23.448833,bridge,Bridge start,C
172,N1,LRP089c,463.0,87366.0,91.1481386,23.4469441,link,Cross Road with Z1052,
173,N1,LRP090,684.0,87829.0,91.1497774,23.4425274,link,Km post missing,
174,N1,LRP091,1000.0,88513.0,91.1521944,23.4373886,link,Ctg 170 km,
175,N1,LRP092,980.0,89513.0,91.1553889,23.4288882,link,Km post missing,
176,N1,LRP093,28.0,90493.0,91.1626944,23.4236938,link,Ctg 168 km,
177,N1,LRP093a,545.0,90521.0,91.1629722,23.4235827,bridge,Bridge start,C
178,N1,LRP093c,427.0,91066.0,91.167666,23.4213604,link,Rail Road Crossing,
179,N1,LRP094,90.0,91493.0,91.171416,23.4195271,link,Km post missing,
180,N1,LRP094a,27.35,91583.0,91.1721938,23.4191382,link,Left to Comilla Right to Noakhali,C
181,N1,LRP095,511.0,92121.0,91.1801382,23.4149444,link,"Ctg 66 km,Feni 52 km",
182,N1,LRP095a,489.0,92632.0,91.1846663,23.4131111,bridge,Bridge start,C
183,N1,LRP096,1008.0,93121.0,91.1893886,23.4125,link,Km post missing,
184,N1,LRP097,1027.0,94129.0,91.1988886,23.4113056,link,Ctg 164 km,
185,N1,LRP098,37.0,95156.0,91.2087778,23.4100833,link,Ctg 163 km,
186,N1,LRP098a,27.9,95193.0,91.2090833,23.4100278,bridge,Box culvert,A
187,N1,LRP099,172.0,96173.0,91.2165278,23.4048056,link,Ctg 162 km,
188,N1,LRP099a,828.0,96345.0,91.2176382,23.40375,bridge,Bridge start,C
189,N1,LRP100,1000.0,97173.0,91.22288776581436,23.398213447804338,link,Km post missing,
190,N1,LRP101,10.0,98173.0,91.2292493,23.3915274,link,Km post missing,
191,N1,LRP101a,30.48,98183.0,91.2293049,23.3914441,bridge,Box culvert,A
192,N1,LRP101b,15.0,99075.0,91.2345552,23.385083,bridge,Box culvert,C
193,N1,LRP101c,83.0,99090.0,91.2346108,23.3849719,bridge,Box culvert,C
194,N1,LRP102,898.0,99173.0,91.2351108,23.3843886,link,Km post missing,
195,N1,LRP102a,102.0,100071.0,91.2403608,23.3779716,bridge,Bridge start,C
196,N1,LRP103,1000.0,100173.0,91.2409163,23.377166,link,Km post missing,
197,N1,LRP104,171.0,101173.0,91.2462774,23.3695827,link,Km post missing,
198,N1,LRP104a,22.8,101344.0,91.2471108,23.3683327,bridge,Box culvert,C
199,N1,LRP105,366.0,102248.0,91.2515556,23.3615278,link,"Ctg 156 km,Feni 43 km",
200,N1,LRP105a,14.3,102614.0,91.25325,23.3586389,bridge,Bridge start,A
201,N1,LRP106,687.0,103248.0,91.2561389,23.3536944,link,Km post missing,
202,N1,LRP106a,313.0,103935.0,91.2599444,23.3486386,bridge,Box culvert,C
203,N1,LRP107,1000.0,104248.0,91.2616944,23.3463608,link,Km post missing,
204,N1,LRP108,444.0,105248.0,91.2672216,23.3390552,link,Km post missing,
205,N1,LRP108a,187.0,105692.0,91.2700549,23.3360274,bridge,Bridge start,C
206,N1,LRP108c,369.0,105879.0,91.271166,23.3347219,link,Road to Harishchar (Z1046),
207,N1,LRP109,1000.0,106248.0,91.2734716,23.3321938,link,Km post missing,
208,N1,LRP110,73.0,107248.0,91.278666,23.3246382,link,Km post missing,
209,N1,LRP110a,19.2,107321.0,91.2791104,23.324166,bridge,Bridge start,B
210,N1,LRP111,270.0,108248.0,91.2836941,23.3171382,link,Km post missing,
211,N1,LRP111a,3.2,108518.0,91.2844719,23.3149444,bridge,Bridge start,A
212,N1,LRP111c,113.0,109135.0,91.2861386,23.3096389,bridge,Box culvert,C
213,N1,LRP112,547.0,109248.0,91.2864163,23.3086944,link,Km post missing,
214,N1,LRP112a,13.4,109795.0,91.288583,23.30425,bridge,Box culvert,A
215,N1,LRP113,519.0,110248.0,91.290333,23.3006111,link,Km post missing,
216,N1,LRP113a,4.6,110767.0,91.2914997,23.296083,bridge,Bridge start,B
217,N1,LRP114,502.0,111248.0,91.2922219,23.2919163,link,Km post missing,
218,N1,LRP114a,6.3,111750.0,91.2936386,23.2876663,bridge,Box culvert,B
219,N1,LRP115,774.0,112248.0,91.2952219,23.283583,link,Km post missing,
220,N1,LRP115a,226.0,113022.0,91.3002778,23.2787216,bridge,Box culvert,C
221,N1,LRP116,1000.0,113248.0,91.3011944,23.2768882,link,Km post missing,
222,N1,LRP117,116.0,114248.0,91.3049722,23.2686382,link,Km post missing,
223,N1,LRP117a,4.5,114364.0,91.3054722,23.2677493,bridge,Box culvert,B
224,N1,LRP117b,203.0,114641.0,91.3064444,23.2654444,bridge,Box culvert,C
225,N1,LRP117c,404.0,114844.0,91.30675,23.2636667,bridge,Box culvert,C
226,N1,LRP118,156.0,115248.0,91.3072778,23.2601111,link,Km post missing,
227,N1,LRP118a,2.5,115404.0,91.3074444,23.2587222,bridge,Box culvert,B
228,N1,LRP119,174.0,116248.0,91.3086389,23.2511944,link,Km post missing,
229,N1,LRP119a,2.5,116422.0,91.3091944,23.249833,bridge,Box culvert,A
230,N1,LRP119b,3.1,116608.0,91.3098056,23.248333,bridge,Bridge start,B
231,N1,LRP119d,270.0,116978.0,91.3110556,23.2452774,bridge,Box culvert,C
232,N1,LRP120,163.0,117248.0,91.3119167,23.243083,link,Km post missing,
233,N1,LRP120a,2.6,117411.0,91.3123611,23.2416941,bridge,Box culvert,B
234,N1,LRP120b,6.0,118228.0,91.3131667,23.2344997,bridge,Box culvert,A
235,N1,LRP121,315.0,118248.0,91.3131667,23.2343052,link,Km post missing,
236,N1,LRP121a,448.0,118563.0,91.3132222,23.2314993,bridge,Box culvert,C
237,N1,LRP121b,14.3,119011.0,91.3135278,23.2275549,bridge,Box culvert,B
238,N1,LRP122,450.0,119248.0,91.3135833,23.2253882,link,Km post missing,
239,N1,LRP122a,6.1,119698.0,91.3137222,23.221416,link,Road to Bangadda (Z1045),A
240,N1,LRP122b,222.0,120026.0,91.3143889,23.2184993,bridge,Box culvert,C
241,N1,LRP123,718.0,120248.0,91.3149167,23.2165556,link,Km post missing,
242,N1,LRP123a,6.1,120966.0,91.3157222,23.2103056,bridge,Box culvert,A
243,N1,LRP124,771.0,121248.0,91.3159722,23.2078889,link,Km post missing,
244,N1,LRP124a,6.1,122019.0,91.3168049,23.201,bridge,Box culvert,C
245,N1,LRP125,865.0,122248.0,91.3170549,23.1990274,link,Km post missing,
246,N1,LRP125a,9.5,123113.0,91.3185549,23.1921108,bridge,Box culvert,B
247,N1,LRP126,523.0,123248.0,91.3192493,23.1909997,link,Km post missing,
248,N1,LRP126a,3.1,123771.0,91.3212493,23.1866941,bridge,Bridge start,B
249,N1,LRP127,614.0,124248.0,91.3210827,23.1826382,link,Km post missing,
250,N1,LRP127a,9.5,124862.0,91.3198049,23.1773604,bridge,Box culvert,A
251,N1,LRP128,546.0,125377.0,91.3205271,23.172916,link,Ctg 133 km,
252,N1,LRP128a,6.3,125923.0,91.3213604,23.1681382,bridge,Bridge start,B
253,N1,LRP129,792.0,126377.0,91.3214993,23.1641389,link,Km post missing,
254,N1,LRP129a,3.5,127169.0,91.3224993,23.1571667,bridge,Box culvert,B
255,N1,LRP130,631.9999999999854,127377.0,91.3232771,23.1554167,link,Km post missing,
256,N1,LRP130a,6.1,128008.99999999999,91.3254993,23.1496941,link,Road to Nangolhat (Z1048),B
257,N1,LRP130b,99.0000000000291,128277.99999999999,91.3264993,23.1480274,bridge,Box culvert,C
258,N1,LRP131,420.99999999998545,128377.00000000001,91.3266938,23.1471663,link,Km post missing,
259,N1,LRP131a,3.0,128798.0,91.326666,23.1433886,bridge,Box culvert,B
260,N1,LRP132,102.0,129377.00000000001,91.3263049,23.1382219,link,Km post missing,
261,N1,LRP132a,4.5,129479.00000000001,91.3264716,23.1374163,bridge,Box culvert,B
262,N1,LRP133,69.99999999998545,130377.00000000001,91.3284993,23.1295827,link,Km post missing,
263,N1,LRP133a,5.3,130447.0,91.3287216,23.1290827,bridge,Box culvert,B
264,N1,LRP133b,255.0,131122.0,91.3311382,23.1234993,bridge,Box culvert,C
265,N1,LRP134,248.0,131377.0,91.3320549,23.1213327,link,Km post missing,
266,N1,LRP134a,6.1,131625.0,91.3329993,23.1193049,bridge,Box culvert,A
267,N1,LRP135,1000.0,131653.0,91.3330827,23.1191382,link,"Ctg 127 km,Feni 16 km",
268,N1,LRP136,75.0,132653.0,91.3378052,23.1113611,link,Km post missing,
269,N1,LRP136a,3.1,132728.0,91.3381386,23.1108056,bridge,Box culvert,A
270,N1,LRP136b,205.0,133448.0,91.3413608,23.1051111,bridge,Box culvert,C
271,N1,LRP137,368.0,133653.0,91.3422497,23.1035,link,Km post missing,
272,N1,LRP137a,3.5,134021.0,91.3437774,23.1005833,bridge,Box culvert,A
273,N1,LRP137b,14.2,134571.0,91.3461108,23.0961941,bridge,Box culvert,B
274,N1,LRP138,688.0,134653.0,91.3464441,23.095583,link,Km post missing,
275,N1,LRP138a,6.1,135341.0,91.3494163,23.0901108,bridge,Box culvert,B
276,N1,LRP139,345.0,135653.0,91.3508889,23.0876108,link,Km post missing,
277,N1,LRP139a,527.0,135998.0,91.3524722,23.0849719,bridge,Box culvertt,C
278,N1,LRP139b,210.0,136525.0,91.3548611,23.0808049,bridge,Bridge start,C
279,N1,LRP140,766.0,136735.0,91.3558333,23.0792493,link,Ctg 122 km,
280,N1,LRP140a,4.0,137501.0,91.3594167,23.0732493,bridge,Box culvert,B
281,N1,LRP141,275.0,137735.0,91.3599722,23.0712493,link,Km post missing,
282,N1,LRP141a,611.0,138010.0,91.3607222,23.0688604,link,Start of Feni road Division / Start of Feni road Division,
283,N1,LRP141b,18.0,138621.0,91.3616389,23.0636944,bridge,Box Culvert,C
284,N1,LRP142,230.0,138639.0,91.3616389,23.0635278,link,Ctg 103 km,
285,N1,LRP142a,10.8,138869.0,91.3616667,23.0614722,link,Road to Karerhat (Z1031),A
286,N1,LRP143,500.0,139751.0,91.3637222,23.0538611,link,Ctg 102 km,
287,N1,LRP143a,1.6,140251.0,91.3651389,23.0479441,link,Z1031,A
288,N1,LRP144,196.0,140772.0,91.3653611,23.0449719,link,Ctg 101 km,
289,N1,LRP144a,336.0,140968.0,91.3654444,23.0427774,bridge,Box culvert,C
290,N1,LRP144b,468.0,141304.0,91.3656111,23.0398052,link,Rail Road Crossing,
291,N1,LRP145,735.0,141772.0,91.36575,23.0360274,link,Km post missing,
292,N1,LRP145a,3.4,142507.0,91.3656389,23.029416,bridge,Box culvert,A
293,N1,LRP146,240.0,142794.0,91.3655,23.0269716,link,"Ctg 99 km,Feni 3 km",
294,N1,LRP146a,761.0,143034.0,91.3655278,23.0248327,link,Road to Biroli (Z1030),
295,N1,LRP147,151.0,143795.0,91.3697771,23.0193604,link,"Ctg 98 km,Feni 2 km",
296,N1,LRP147a,724.0,143946.0,91.3708327,23.0185271,bridge,Box culvert,C
297,N1,LRP147b,125.0,144670.0,91.3759716,23.0140833,bridge,Box culvert,C
298,N1,LRP148,614.0,144795.0,91.3769438,23.0132778,link,Km post missing,
299,N1,LRP148a,1.5,145409.0,91.3813604,23.0095556,link,Intersection with N104 / Km post missing,A
300,N1,LRP150,1000.0,146816.0,91.3920552,23.0018889,link,Ctg 95 km,
301,N1,LRP151,85.0,147816.0,91.3998052,22.9963886,link,Km post missing,
302,N1,LRP151a,940.0,147901.0,91.4005,22.9961941,bridge,Bridge start,C
303,N1,LRP152,448.0,148841.0,91.4072222,22.9906941,link,"Ctg 93 km,Lalpole 1 km",
304,N1,LRP152a,296.0,149289.0,91.41,22.9877774,link,Road to Feni Town (Z1034),
305,N1,LRP152b,256.0,149585.0,91.4120556,22.9858886,link,Road to Sonagazi (Z1034),
306,N1,LRP153,1051.0,149841.0,91.4137222,22.9842219,link,Ctg 91 km,
307,N1,LRP154,1000.0,150892.0,91.4205827,22.9774438,link,Ctg 91 km,
308,N1,LRP155,1000.0,151892.0,91.4273882,22.9711382,link,Km post missing,
309,N1,LRP156,780.0,152892.0,91.4356108,22.9663333,link,Km post missing,
310,N1,LRP156a,220.0,153672.0,91.4416941,22.9624167,bridge,Bridge start,C
311,N1,LRP157,1043.0,153892.0,91.4433886,22.9611667,link,Km post missing,
312,N1,LRP158,1000.0,154935.0,91.4517778,22.9561389,link,Ctg 87 km,
313,N1,LRP159,1012.0,155935.0,91.4600278,22.9514444,link,Km post missing,
314,N1,LRP160,738.0,156947.0,91.4689993,22.9479997,link,"Ctg 85 km,Bairyahat 10 km",
315,N1,LRP160a,262.0,157685.0,91.4761382,22.9483608,link,Road to Mounshirhat (Z1081),
316,N1,LRP161,1008.0,157947.0,91.4786938,22.9484997,link,Km post missing,
317,N1,LRP162,1000.0,158955.0,91.4883608,22.9497497,link,Ctg 83 km,
